timestamp,gpu,power_w
2026-02-05 02:07:06.375020,0,11.01
2026-02-05 02:07:06.375020,1,24.96
2026-02-05 02:07:06.502541,0,11.02
2026-02-05 02:07:06.502541,1,25.06
2026-02-05 02:07:06.638413,0,10.92
2026-02-05 02:07:06.638413,1,25.06
2026-02-05 02:07:06.766609,0,11.11
2026-02-05 02:07:06.766609,1,25.16
2026-02-05 02:07:06.898931,0,10.72
2026-02-05 02:07:06.898931,1,9.44
2026-02-05 02:07:07.029315,0,10.72
2026-02-05 02:07:07.029315,1,9.93
2026-02-05 02:07:07.159671,0,11.02
2026-02-05 02:07:07.159671,1,10.23
2026-02-05 02:07:07.289377,0,10.92
2026-02-05 02:07:07.289377,1,9.34
2026-02-05 02:07:07.420928,0,10.62
2026-02-05 02:07:07.420928,1,9.34
2026-02-05 02:07:07.552059,0,10.62
2026-02-05 02:07:07.552059,1,9.64
2026-02-05 02:07:07.681983,0,10.82
2026-02-05 02:07:07.681983,1,9.34
2026-02-05 02:07:07.812358,0,10.82
2026-02-05 02:07:07.812358,1,10.42
2026-02-05 02:07:07.942378,0,10.72
2026-02-05 02:07:07.942378,1,9.93
2026-02-05 02:07:08.072098,0,11.21
2026-02-05 02:07:08.072098,1,9.44
2026-02-05 02:07:08.202775,0,10.52
2026-02-05 02:07:08.202775,1,10.03
2026-02-05 02:07:08.331864,0,10.92
2026-02-05 02:07:08.331864,1,10.72
2026-02-05 02:07:08.461692,0,11.20
2026-02-05 02:07:08.461692,1,9.73
2026-02-05 02:07:08.589844,0,10.72
2026-02-05 02:07:08.589844,1,9.64
2026-02-05 02:07:08.718595,0,31.04
2026-02-05 02:07:08.718595,1,10.72
2026-02-05 02:07:08.860790,0,59.51
2026-02-05 02:07:08.860790,1,15.33
2026-02-05 02:07:08.990466,0,59.81
2026-02-05 02:07:08.990466,1,10.02
2026-02-05 02:07:09.118712,0,59.41
2026-02-05 02:07:09.118712,1,9.63
2026-02-05 02:07:09.246404,0,59.61
2026-02-05 02:07:09.246404,1,9.44
2026-02-05 02:07:09.377137,0,59.61
2026-02-05 02:07:09.377137,1,9.73
